ID,Name,Author,Genre
943,Five Little Pigs,Agatha Christie,"{""Crime Fiction"",""Mystery"", ""Fiction"", ""Suspense""}"
944,Revolutionary Road,Richard Yates,"{""Fiction"", ""Novel""}"
945,War of the Twins,Tracy Hickman,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"",""Children's literature""}"
946,Room at the Top,John Braine,"{""Fiction"", ""Novel""}"
947,For Whom the Bell Tolls,Ernest Hemingway,"{""War novel"", ""Fiction""}"
948,Piece of My Heart: A Novel of Suspense,Peter Robinson,"{""Crime Fiction"",""Mystery""}"
949,The Great Hunt,Robert Jordan,"{""Speculative fiction"", ""Fantasy""}"
950,Radio Free Albemuth,Philip K. Dick,"{""Science Fiction"",""Speculative fiction"", ""Dystopia""}"
951,One Lonely Night,Mickey Spillane,"{""Crime Fiction"",""Mystery"", ""Fiction""}"
952,Daughter of Venice,Donna Jo Napoli,"{""Historical fiction"", ""Young adult literature""}"
953,Wolf Captured,Jane Lindskold,"{""Fantasy""}"
954,A Planet Called Treason,Orson Scott Card,"{""Science Fiction"",""Speculative fiction""}"
955,À rebours,Joris-Karl Huysmans,"{""Novel""}"
956,Rite of Passage,Alexei Panshin,"{""Science Fiction"",""Speculative fiction"", ""Fiction"", ""Novel""}"
957,Pir-e-Kamil,Umaira Ahmed,"{""Novel""}"
958,Modelland,Tyra Banks,"{""Fantasy"", ""Science Fiction"", ""Young adult literature""}"
959,Music for Chameleons,Truman Capote,"{""Short story""}"
960,The Rebel Angels,Robertson Davies,"{""Speculative fiction"", ""Fiction"", ""Novel""}"
961,A Very Private Life,Michael Frayn,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
962,Kiss,Jacqueline Wilson,"{""Young adult literature""}"
963,A Cool Head,Ian Rankin,"{""Crime Fiction"", ""Novel""}"
964,A Company of Swans,Eva Ibbotson,"{""Young adult literature"", ""Romance novel"", ""Historical novel""}"
965,Ignorance,Milan Kundera,"{""Fiction"", ""Romance novel"", ""Novel""}"
966,The Prince and the Pilgrim,Mary Stewart,"{""Speculative fiction"", ""Fantasy"", ""Fiction"", ""Romance novel""}"
967,The Myth of Sisyphus,Albert Camus,"{""Existentialism""}"
968,Pet Peeve,Piers Anthony,"{""Speculative fiction"", ""Fantasy"", ""Fiction""}"
969,Lorna Doone,R. D. Blackmore,"{""Children's literature"", ""Fiction"", ""Romance novel""}"
970,Tooth and Nail,Ian Rankin,"{""Crime Fiction"",""Mystery"", ""Detective fiction"", ""Fiction"", ""Suspense""}"
971,Deep Six,Clive Cussler,"{""Children's literature"", ""Fiction"", ""Adventure novel"", ""Suspense""}"
972,The Farming of Bones,Edwidge Danticat,"{""Novel"", ""Fiction"", ""Historical novel""}"
973,Dragon's Fire,Todd McCaffrey,"{""Science Fiction"",""Speculative fiction""}"
974,The Piano Tuner,Daniel Mason,"{""Fiction""}"
975,David Boring,Daniel Clowes,"{""Speculative fiction"", ""Fantasy"",""Children's literature""}"
976,The Story of Doctor Dolittle,Hugh Lofting,"{""Children's literature"", ""Fantasy"",""Speculative fiction"", ""Fiction""}"
977,To the Stars,L. Ron Hubbard,"{""Science Fiction""}"
978,In the Time of Dinosaurs,K. A. Applegate,"{""Science Fiction"",""Speculative fiction"", ""Novel""}"
979,Lord Tony's Wife,Baroness Emma Orczy,"{""Adventure novel"", ""Historical novel""}"
980,Sourcery,Terry Pratchett,"{""Science Fiction"",""Speculative fiction"", ""Fantasy"", ""Fiction""}"
981,Surfacing,Margaret Atwood,"{""Speculative fiction"", ""Fiction""}"
982,The Adventures of Roderick Random,Tobias Smollett,"{""Fiction"", ""Novel""}"
983,The Robe,Andrew Greeley,"{""Speculative fiction"", ""Fiction""}"
984,A Tiger for Malgudi,R. K. Narayan,"{""Fiction"", ""Novel""}"
985,Colossus,Dennis Feltham Jones,"{""Science Fiction""}"
986,The Shattered Helmet,Franklin W. Dixon,"{""Mystery"", ""Detective fiction""}"
987,Koyasan,Darren Shan,"{""Horror""}"
988,Fable: The Balverine Order,Peter David,"{""Fiction""}"
989,Matterhorn: A Novel of the Vietnam War,Karl Marlantes,"{""War novel""}"
990,The Best Awful There Is,Carrie Fisher,"{""Autobiographical novel"", ""Fiction""}"
991,Ally,Karen Traviss,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
992,The Door into Summer,Robert A. Heinlein,"{""Science Fiction"",""Speculative fiction"", ""Fiction""}"
993,Slave Girl,Jackie French,"{""Children's literature"", ""Historical novel""}"
994,With Child,Laurie R. King,"{""Crime Fiction"",""Mystery"", ""Novel""}"
995,The Ugly Little Boy,Isaac Asimov,"{""Science Fiction"", ""Novel""}"
996,The Hundred-Year Christmas,David Morrell,"{""Fantasy""}"
997,Grania: She-King of the Irish Seas,Morgan Llywelyn,"{""Historical novel""}"
998,The Heart of Midlothian,Walter Scott,"{""Historical novel""}"
999,Satyricon,Petronius Arbiter,"{""Novel"", ""Satire"", ""Historical fiction"", ""Poetry"", ""Fiction""}"
1000,The Ship of Ishtar,A. Merritt,"{""Fantasy""}"
